,deal_id,deal_size,deal_date,ceo_id,network,smile,tweet_count,ebk_v,ebk_a,ebk_d
715,166963-06T,16.53,24-Feb-2021,242735-14P,5265944.0,dominant,30.0,0.515065133571625,0.520609021186829,0.528043508529663
716,131715-37T,16.53,22-Feb-2021,193455-37P,379.0,dominant,12.0,0.499015331268311,0.520005345344544,0.524625241756439
717,167044-51T,16.53,18-Feb-2021,97896-34P,63.0,dominant,4.0,0.50566554069519,0.516789019107819,0.531521797180176
718,172579-51T,16.53,20-May-2021,56059-12P,100773.0,rewarding,414.0,0.513784229755402,0.518154144287109,0.537262976169586
719,139870-18T,16.53,18-Feb-2021,142869-79P,66377.0,dominant,0.0,,,
720,167049-55T,16.53,18-Feb-2021,254014-12P,129.0,,0.0,,,
721,167850-37T,16.53,19-Feb-2021,87463-00P,81.0,,0.0,,,
722,172406-26T,16.54,19-May-2021,166537-72P,107.0,affiliative,1.0,0.528574407100678,0.517578840255737,0.5385861992836
723,168275-98T,16.54,01-Mar-2021,201610-00P,1261.0,affiliative,21.0,0.498966038227081,0.510842502117157,0.520710110664368
724,171371-80T,16.55,18-May-2021,203003-38P,534.0,dominant,19.0,0.506888329982758,0.518996179103851,0.533291041851044
725,169286-41T,16.57,15-May-2021,132668-56P,225.0,,304.0,0.522862613201141,0.513546824455261,0.539790213108063
726,171953-65T,16.61,11-May-2021,42477-22P,3373.0,,648.0,0.506472647190094,0.514576733112335,0.531301259994507
727,167014-90T,16.63,18-Feb-2021,181855-72P,2653.0,dominant,544.0,0.514574110507965,0.519477725028992,0.533852815628052
728,171601-75T,16.67,05-May-2021,36233-29P,8514.0,affiliative,370.0,0.512856721878052,0.516249418258667,0.53454327583313
729,169151-32T,16.67,22-Mar-2021,172993-51P,37.0,,4.0,0.538637280464172,0.53157240152359,0.548627376556397
730,169027-39T,16.68,23-Mar-2021,223834-42P,22.0,dominant,0.0,,,
731,119778-58T,16.69,24-Mar-2021,59697-73P,9924.0,,474.0,0.510728418827057,0.513411641120911,0.527823805809021
732,167073-76T,16.70,03-Feb-2021,96925-69P,650.0,rewarding,3.0,0.52400928735733,0.523770153522492,0.537098586559296
733,183706-48T,16.71,21-Oct-2021,47297-71P,3373.0,dominant,325.0,0.51335996389389,0.519536435604096,0.536675274372101
734,172523-89T,16.72,01-May-2021,242200-09P,11769.0,rewarding,0.0,,,
735,159546-79T,16.73,08-Jul-2021,204132-79P,905.0,dominant,17.0,0.520201861858368,0.515704274177551,0.533672273159027
736,171598-60T,16.74,30-Apr-2021,186702-94P,609.0,,110.0,0.513871431350708,0.515864610671997,0.534909725189209
737,166040-83T,16.77,29-Mar-2021,47016-10P,1494.0,dominant,46.0,0.519490718841553,0.515977263450623,0.53731906414032
738,171248-05T,16.77,28-Apr-2021,80047-54P,988.0,dominant,7.0,0.509586274623871,0.517681241035461,0.530330181121826
739,164293-21T,16.78,02-Feb-2021,166781-89P,38.0,dominant,0.0,,,
740,146306-80T,16.80,31-Mar-2021,14800-69P,321.0,,13.0,0.516232967376709,0.521904766559601,0.537636160850525
741,188623-54T,16.80,31-Mar-2021,228274-66P,849.0,affiliative,460.0,0.499378442764282,0.515139043331146,0.530490636825562
742,164923-93T,16.81,14-Jan-2021,98767-63P,242.0,,79.0,0.506151139736176,0.515675961971283,0.532175719738007
743,179234-74T,16.81,01-Apr-2021,203275-54P,9262.0,,140.0,0.507266461849213,0.51125556230545,0.53142124414444
744,170716-78T,16.86,20-Apr-2021,160068-97P,76.0,rewarding,11.0,0.53303873538971,0.519466638565064,0.539096295833588
745,178217-47T,16.86,21-Jul-2021,143189-56P,3035.0,affiliative,12.0,0.479085117578506,0.505994617938995,0.511647939682007
746,170679-16T,16.86,20-Apr-2021,244420-57P,117.0,affiliative,12.0,0.52301836013794,0.521779119968414,0.542441189289093
747,170536-24T,16.87,16-Apr-2021,235554-40P,20.0,dominant,0.0,,,
748,177022-63T,16.87,22-Jul-2021,175904-56P,5742.0,rewarding,83.0,0.512237727642059,0.516905844211578,0.53369551897049
749,166794-31T,16.87,08-Apr-2021,162316-63P,504.0,,18.0,0.518868267536163,0.529705882072449,0.542115330696106
750,177220-27T,16.90,27-Jul-2021,41947-75P,58.0,dominant,0.0,,,
751,177653-62T,16.91,03-Aug-2021,142947-28P,224.0,affiliative,3.0,0.51262778043747,0.515387237071991,0.53503429889679
752,177393-34T,16.91,29-Jul-2021,51918-31P,4122.0,rewarding,86.0,0.51780366897583,0.518080711364746,0.540060997009277
753,177858-82T,16.91,05-Aug-2021,96808-60P,12.0,dominant,3.0,0.491410166025162,0.483463972806931,0.527646601200104
754,181183-15T,16.91,28-Jul-2021,38143-27P,2.0,,6.0,0.500234127044678,0.512012302875519,0.529829323291779
755,178352-92T,16.95,16-Aug-2021,37021-78P,77.0,dominant,6.0,0.530892968177795,0.524406671524048,0.542877852916718
756,179940-43T,16.95,21-Sep-2021,56572-75P,285.0,dominant,35.0,0.524185538291931,0.523547410964966,0.542968213558197
757,180432-64T,16.95,21-Sep-2021,200862-91P,3501.0,rewarding,446.0,0.505996227264404,0.517240762710571,0.534002661705017
758,180153-46T,16.96,15-Sep-2021,38160-91P,277.0,dominant,43.0,0.520766258239746,0.518880963325501,0.542963743209839
759,180177-67T,16.96,16-Sep-2021,60255-73P,652.0,dominant,9.0,0.521360158920288,0.519544243812561,0.541106522083283
760,180885-07T,16.97,29-Sep-2021,251154-82P,901.0,rewarding,7.0,0.511092364788055,0.529653012752533,0.546592772006989
761,181464-85T,16.98,30-Sep-2021,194105-44P,241.0,rewarding,177.0,0.514236569404602,0.520316243171692,0.534833371639252
762,181166-68T,17.03,04-Oct-2021,237935-26P,692.0,dominant,73.0,0.50345641374588,0.509814143180847,0.525597631931305
763,181584-37T,17.13,12-Oct-2021,210985-57P,1312.0,rewarding,55.0,0.513000905513763,0.518026173114777,0.533994615077972
764,179125-75T,17.17,27-Aug-2021,40526-92P,285104.0,,0.0,,,
765,179496-28T,17.21,02-Sep-2021,195117-94P,472.0,,207.0,0.527352511882782,0.513181209564209,0.539638817310333
766,182321-65T,17.23,26-Oct-2021,250699-87P,50.0,rewarding,1.0,0.505350887775421,0.528563559055328,0.551631152629852
767,182369-08T,17.24,27-Oct-2021,227952-64P,97.0,,26.0,0.539042353630066,0.52846896648407,0.551066339015961
768,183698-65T,17.25,08-Nov-2021,127220-95P,1356404.0,rewarding,737.0,0.520926713943481,0.519221186637878,0.533620178699493
769,174125-98T,17.25,10-Jun-2021,216097-93P,1033.0,affiliative,5.0,0.495432198047638,0.516660332679749,0.535192310810089
770,183132-91T,17.25,09-Nov-2021,86847-58P,78060.0,rewarding,55.0,0.52048933506012,0.515551209449768,0.537860155105591
771,166271-68T,17.28,29-Jan-2021,149539-87P,1472.0,rewarding,4.0,0.526786267757416,0.52856570482254,0.549705505371094
772,176712-49T,17.32,18-Nov-2021,35717-32P,18395.0,dominant,8.0,0.518188416957855,0.524622142314911,0.536780655384064
773,176441-86T,17.33,19-Nov-2021,252425-35P,200.0,affiliative,85.0,0.527691721916199,0.52772718667984,0.539404451847076
774,174219-58T,17.33,25-May-2021,162806-05P,12036.0,affiliative,283.0,0.522616744041443,0.521106600761414,0.540438175201416
775,174827-26T,17.33,22-Jun-2021,199819-36P,433.0,affiliative,64.0,0.509544610977173,0.513539373874664,0.534054517745972
776,174847-51T,17.33,22-Jun-2021,200896-75P,,,11.0,0.502123475074768,0.509948492050171,0.532474040985107
777,167448-07T,17.36,01-Mar-2021,40819-15P,33934.0,dominant,455.0,0.515105247497559,0.514739394187927,0.537228584289551
778,172508-68T,17.36,20-May-2021,220611-43P,2686.0,rewarding,113.0,0.511934161186218,0.516910076141357,0.535530507564545
779,176251-87T,17.37,16-Jul-2021,103524-67P,103.0,,20.0,0.508868396282196,0.50679361820221,0.531443417072296
780,172302-31T,17.38,18-May-2021,236266-66P,8230.0,rewarding,531.0,0.511719882488251,0.515398502349854,0.535293340682983
781,184707-82T,17.39,22-Nov-2021,148869-73P,459.0,affiliative,17.0,0.517991781234741,0.526108980178833,0.54255348443985
782,166562-65T,17.39,08-Feb-2021,102230-56P,2910.0,affiliative,44.0,0.519251763820648,0.520046353340149,0.537815630435944
